Year,StartPop,rN,(K-N)/K,DeltaN,Final
1,50,10,0.995,9.95,59.95
2,59.95,11.99,0.994005,11.91811995,71.86811995
3,71.86811995,14.37362399,0.992813188,14.27032346,86.13844341
4,86.13844341,17.22768868,0.991386156,17.07929205,103.2177355
5,103.2177355,20.64354709,0.989678226,20.43046907,123.6482045
6,123.6482045,24.72964091,0.98763518,24.42386334,148.0720679
7,148.0720679,29.61441357,0.985192793,29.17590683,177.2479747
8,177.2479747,35.44959494,0.982275203,34.82125805,212.0692327
9,212.0692327,42.41384655,0.978793077,41.51437936,253.5836121
10,253.5836121,50.71672242,0.974641639,49.43062945,303.0142416
11,303.0142416,60.60284831,0.969698576,58.7664957,361.7807373
12,361.7807373,72.35614745,0.963821926,69.73844142,431.5191787
13,431.5191787,86.30383574,0.956848082,82.5796597,514.0988384
14,514.0988384,102.8197677,0.948590116,97.53381536,611.6326537
15,611.6326537,122.3265307,0.938836735,114.8446407,726.4772944
16,726.4772944,145.2954589,0.927352271,134.7400737,861.2173681
17,861.2173681,172.2434736,0.913878263,157.4095665,1018.626935
18,1018.626935,203.7253869,0.898137307,182.9733703,1201.600305
19,1201.600305,240.320061,0.87983997,211.4431951,1413.0435
20,1413.0435,282.6087,0.85869565,242.6748614,1655.718361
21,1655.718361,331.1436723,0.834428164,276.3156064,1932.033968
22,1932.033968,386.4067936,0.806796603,311.7516885,2243.785656
23,2243.785656,448.7571313,0.775621434,348.0656498,2591.851306
24,2591.851306,518.3702612,0.740814869,384.0163974,2975.867704
25,2975.867704,595.1735407,0.70241323,418.0577689,3393.925473
26,3393.925473,678.7850945,0.660607453,448.4104922,3842.335965
27,3842.335965,768.467193,0.615766404,473.1962796,4315.532244
28,4315.532244,863.1064489,0.568446776,490.6300778,4806.162322
29,4806.162322,961.2324644,0.519383768,499.2485391,5305.410861
30,5305.410861,1061.082172,0.469458914,498.1344841,5803.545345
31,5803.545345,1160.709069,0.419645465,487.0862976,6290.631643
32,6290.631643,1258.126329,0.370936836,466.6853992,6757.317042
33,6757.317042,1351.463408,0.324268296,438.2367363,7195.553779
34,7195.553779,1439.110756,0.280444622,403.5908721,7599.144651
35,7599.144651,1519.82893,0.240085535,364.8889417,7964.033592
36,7964.033592,1592.806718,0.203596641,324.2900973,8288.32369
37,8288.32369,1657.664738,0.171167631,283.7385462,8572.062236
38,8572.062236,1714.412447,0.142793776,244.8074277,8816.869664
39,8816.869664,1763.373933,0.118313034,208.6301194,9025.499783
40,9025.499783,1805.099957,0.097450022,175.90703,9201.406813
41,9201.406813,1840.281363,0.079859319,146.9636159,9348.370429
42,9348.370429,1869.674086,0.065162957,121.8334923,9470.203921
43,9470.203921,1894.040784,0.052979608,100.3455381,9570.549459
44,9570.549459,1914.109892,0.042945054,82.20155283,9652.751012
45,9652.751012,1930.550202,0.034724899,67.03816041,9719.789172
46,9719.789172,1943.957834,0.028021083,54.47180337,9774.260976
47,9774.260976,1954.852195,0.022573902,44.12864271,9818.389618
48,9818.389618,1963.677924,0.018161038,35.6624297,9854.052048
49,9854.052048,1970.81041,0.014594795,28.76357428,9882.815622
50,9882.815622,1976.563124,0.011718438,23.16223195,9905.977854
51,9905.977854,1981.195571,0.009402215,18.62762585,9924.60548
52,9924.60548,1984.921096,0.007539452,14.96521728,9939.570698
53,9939.570698,1987.91414,0.00604293,12.01282649,9951.583524
54,9951.583524,1990.316705,0.004841648,9.636412099,9961.219936
55,9961.219936,1992.243987,0.003878006,7.725934915,9968.945871
56,9968.945871,1993.789174,0.003105413,6.19153862,9975.13741
57,9975.13741,1995.027482,0.002486259,4.960155107,9980.097565
58,9980.097565,1996.019513,0.001990244,3.972564915,9984.07013
59,9984.07013,1996.814026,0.001592987,3.180898855,9987.251029
60,9987.251029,1997.450206,0.001274897,2.546543574,9989.797572
61,9989.797572,1997.959514,0.001020243,2.038403794,9991.835976
62,9991.835976,1998.367195,0.000816402,1.6314718,9993.467448
63,9993.467448,1998.69349,0.000653255,1.305656981,9994.773105
64,9994.773105,1998.954621,0.00052269,1.044832661,9995.817937
65,9995.817937,1999.163587,0.000418206,0.836062745,9996.654
66,9996.654,1999.3308,0.0003346,0.668976074,9997.322976
67,9997.322976,1999.464595,0.000267702,0.535261445,9997.858238
68,9997.858238,1999.571648,0.000214176,0.428260742,9998.286498
69,9998.286498,1999.6573,0.00017135,0.342641615,9998.62914
70,9998.62914,1999.725828,0.000137086,0.274134428,9998.903274
71,9998.903274,1999.780655,0.000109673,0.219321072,9999.122595
72,9999.122595,1999.824519,8.77E-05,0.175465517,9999.298061
73,9999.298061,1999.859612,7.02E-05,0.140377956,9999.438439
74,9999.438439,1999.887688,5.62E-05,0.112305912,9999.550745
75,9999.550745,1999.910149,4.49E-05,0.089847,9999.640592
76,9999.640592,1999.928118,3.59E-05,0.071879053,9999.712471
77,9999.712471,1999.942494,2.88E-05,0.057504173,9999.769975
78,9999.769975,1999.953995,2.30E-05,0.046003933,9999.815979
79,9999.815979,1999.963196,1.84E-05,0.036803528,9999.852783
80,9999.852783,1999.970557,1.47E-05,0.029443066,9999.882226
81,9999.882226,1999.976445,1.18E-05,0.023554609,9999.90578
82,9999.90578,1999.981156,9.42E-06,0.018843787,9999.924624
83,9999.924624,1999.984925,7.54E-06,0.015075093,9999.939699
84,9999.939699,1999.98794,6.03E-06,0.012060116,9999.951759
85,9999.951759,1999.990352,4.82E-06,0.009648119,9999.961407
86,9999.961407,1999.992281,3.86E-06,0.007718512,9999.969126
87,9999.969126,1999.993825,3.09E-06,0.00617482,9999.975301
88,9999.975301,1999.99506,2.47E-06,0.004939863,9999.98024
89,9999.98024,1999.996048,1.98E-06,0.003951895,9999.984192
90,9999.984192,1999.996838,1.58E-06,0.003161519,9999.987354
91,9999.987354,1999.997471,1.26E-06,0.002529217,9999.989883
92,9999.989883,1999.997977,1.01E-06,0.002023374,9999.991906
93,9999.991906,1999.998381,8.09E-07,0.0016187,9999.993525
94,9999.993525,1999.998705,6.47E-07,0.001294961,9999.99482
95,9999.99482,1999.998964,5.18E-07,0.001035969,9999.995856
96,9999.995856,1999.999171,4.14E-07,0.000828775,9999.996685
97,9999.996685,1999.999337,3.32E-07,0.00066302,9999.997348
98,9999.997348,1999.99947,2.65E-07,0.000530416,9999.997878
