Year,StartPop,rN,(K-N)/K,DeltaN,Final
1,100,5,0.99,4.95,104.95
2,104.95,5.2475,0.989505,5.192427488,110.1424275
3,110.1424275,5.507121374,0.988985757,5.446464603,115.5888921
4,115.5888921,5.779444605,0.988441111,5.712640645,121.3015327
5,121.3015327,6.065076637,0.987869847,5.991506328,127.2930391
6,127.2930391,6.364651953,0.987270696,6.283634364,133.5766734
7,133.5766734,6.678833671,0.986642333,6.589620033,140.1662935
8,140.1662935,7.008314673,0.985983371,6.910081724,147.0763752
9,147.0763752,7.353818759,0.985292362,7.245661458,154.3220366
10,154.3220366,7.716101832,0.984567796,7.597025377,161.919062
11,161.919062,8.095953101,0.983808094,7.964864188,169.8839262
12,169.8839262,8.49419631,0.983011607,8.349893568,178.2338198
13,178.2338198,8.911690989,0.982176618,8.752854516,186.9866743
14,186.9866743,9.349333715,0.981301333,9.174513633,196.1611879
15,196.1611879,9.808059396,0.980383881,9.615663338,205.7768513
16,205.7768513,10.28884256,0.979422315,10.077122,215.8539733
17,215.8539733,10.79269866,0.978414603,10.55973397,226.4137072
18,226.4137072,11.32068536,0.977358629,11.06436953,237.4780768
19,237.4780768,11.87390384,0.976252192,11.59192465,249.0700014
20,249.0700014,12.45350007,0.975093,12.14332074,261.2133222
21,261.2133222,13.06066611,0.973878668,12.71950411,273.9328263
22,273.9328263,13.69664131,0.972606717,13.32144535,287.2542716
23,287.2542716,14.36271358,0.971274573,13.9501385,301.2044101
24,301.2044101,15.06022051,0.969879559,14.60660002,315.8110101
25,315.8110101,15.79055051,0.968418899,15.29186754,331.1028777
26,331.1028777,16.55514388,0.966889712,16.00699831,347.109876
27,347.109876,17.3554938,0.965289012,16.75306747,363.8629434
28,363.8629434,18.19314717,0.963613706,17.53116596,381.3941094
29,381.3941094,19.06970547,0.961860589,18.34239814,399.7365076
30,399.7365076,19.98682538,0.960026349,19.187879,418.9243866
31,418.9243866,20.94621933,0.958107561,20.06873112,438.9931177
32,438.9931177,21.94965588,0.956100688,20.9860811,459.9791988
33,459.9791988,22.99895994,0.95400208,21.94105562,481.9202544
34,481.9202544,24.09601272,0.951807975,22.93477706,504.8550314
35,504.8550314,25.24275157,0.949514497,23.96835856,528.82339
